,Unnamed: 0,avgPriceChoice,UPC,PRICE,PRICE_p2,FEATURE,DISPLAY,TPR_ONLY,RELPRICE,predictSales
133,133,2.5,1600027564,4.0,16.0,1,1,1,1.6,43.2
134,134,2.5,1600027564,4.5,20.25,1,1,1,1.8,37.3
135,135,2.5,1600027564,5.0,25.0,1,1,1,2.0,30.1
136,136,3.0,1600027564,1.5,2.25,1,1,1,0.5,54.0
137,137,3.0,1600027564,2.0,4.0,1,1,1,0.6666666666666666,55.2
138,138,3.0,1600027564,2.5,6.25,1,1,1,0.8333333333333334,55.1
139,139,3.0,1600027564,3.0,9.0,1,1,1,1.0,53.6
140,140,3.0,1600027564,3.5,12.25,1,1,1,1.1666666666666667,50.8
141,141,3.0,1600027564,4.0,16.0,1,1,1,1.3333333333333333,46.7
142,142,3.0,1600027564,4.5,20.25,1,1,1,1.5,41.3
143,143,3.0,1600027564,5.0,25.0,1,1,1,1.6666666666666667,34.5
144,144,3.25,1600027564,1.5,2.25,1,1,1,0.4615384615384616,54.5
145,145,3.25,1600027564,2.0,4.0,1,1,1,0.6153846153846154,55.9
146,146,3.25,1600027564,2.5,6.25,1,1,1,0.7692307692307693,55.9
147,147,3.25,1600027564,3.0,9.0,1,1,1,0.9230769230769232,54.6
148,148,3.25,1600027564,3.5,12.25,1,1,1,1.0769230769230769,52.0
149,149,3.25,1600027564,4.0,16.0,1,1,1,1.2307692307692308,48.1
150,150,3.25,1600027564,4.5,20.25,1,1,1,1.3846153846153846,42.8
151,151,3.25,1600027564,5.0,25.0,1,1,1,1.5384615384615383,36.2
152,152,3.5,1600027564,1.5,2.25,1,1,1,0.42857142857142855,55.0
153,153,3.5,1600027564,2.0,4.0,1,1,1,0.5714285714285714,56.5
154,154,3.5,1600027564,2.5,6.25,1,1,1,0.7142857142857143,56.7
155,155,3.5,1600027564,3.0,9.0,1,1,1,0.8571428571428571,55.5
156,156,3.5,1600027564,3.5,12.25,1,1,1,1.0,53.0
157,157,3.5,1600027564,4.0,16.0,1,1,1,1.1428571428571428,49.2
158,158,3.5,1600027564,4.5,20.25,1,1,1,1.2857142857142858,44.1
159,159,3.5,1600027564,5.0,25.0,1,1,1,1.4285714285714286,37.6
160,160,2.5,3000006340,1.5,2.25,1,1,1,0.6,27.4
161,161,2.5,3000006340,2.0,4.0,1,1,1,0.8,23.1
162,162,2.5,3000006340,2.5,6.25,1,1,1,1.0,20.0
163,163,2.5,3000006340,3.0,9.0,1,1,1,1.2,18.2
164,164,2.5,3000006340,3.5,12.25,1,1,1,1.4,17.6
165,165,2.5,3000006340,4.0,16.0,1,1,1,1.6,18.2
166,166,2.5,3000006340,4.5,20.25,1,1,1,1.8,20.1
167,167,2.5,3000006340,5.0,25.0,1,1,1,2.0,23.1
168,168,3.0,3000006340,1.5,2.25,1,1,1,0.5,26.2
169,169,3.0,3000006340,2.0,4.0,1,1,1,0.6666666666666666,21.6
170,170,3.0,3000006340,2.5,6.25,1,1,1,0.8333333333333334,18.2
171,171,3.0,3000006340,3.0,9.0,1,1,1,1.0,15.9
172,172,3.0,3000006340,3.5,12.25,1,1,1,1.1666666666666667,15.0
173,173,3.0,3000006340,4.0,16.0,1,1,1,1.3333333333333333,15.2
174,174,3.0,3000006340,4.5,20.25,1,1,1,1.5,16.7
175,175,3.0,3000006340,5.0,25.0,1,1,1,1.6666666666666667,19.4
176,176,3.25,3000006340,1.5,2.25,1,1,1,0.4615384615384616,25.8
177,177,3.25,3000006340,2.0,4.0,1,1,1,0.6153846153846154,21.0
178,178,3.25,3000006340,2.5,6.25,1,1,1,0.7692307692307693,17.4
179,179,3.25,3000006340,3.0,9.0,1,1,1,0.9230769230769232,15.1
180,180,3.25,3000006340,3.5,12.25,1,1,1,1.0769230769230769,14.0
181,181,3.25,3000006340,4.0,16.0,1,1,1,1.2307692307692308,14.1
182,182,3.25,3000006340,4.5,20.25,1,1,1,1.3846153846153846,15.4
183,183,3.25,3000006340,5.0,25.0,1,1,1,1.5384615384615383,18.0
184,184,3.5,3000006340,1.5,2.25,1,1,1,0.42857142857142855,25.4
185,185,3.5,3000006340,2.0,4.0,1,1,1,0.5714285714285714,20.5
186,186,3.5,3000006340,2.5,6.25,1,1,1,0.7142857142857143,16.8
187,187,3.5,3000006340,3.0,9.0,1,1,1,0.8571428571428571,14.3
188,188,3.5,3000006340,3.5,12.25,1,1,1,1.0,13.1
189,189,3.5,3000006340,4.0,16.0,1,1,1,1.1428571428571428,13.1
190,190,3.5,3000006340,4.5,20.25,1,1,1,1.2857142857142858,14.3
191,191,3.5,3000006340,5.0,25.0,1,1,1,1.4285714285714286,16.7
192,192,2.5,3800031829,1.5,2.25,1,1,1,0.6,93.7
193,193,2.5,3800031829,2.0,4.0,1,1,1,0.8,75.4
194,194,2.5,3800031829,2.5,6.25,1,1,1,1.0,61.9
195,195,2.5,3800031829,3.0,9.0,1,1,1,1.2,53.3
196,196,2.5,3800031829,3.5,12.25,1,1,1,1.4,49.5
197,197,2.5,3800031829,4.0,16.0,1,1,1,1.6,50.5
198,198,2.5,3800031829,4.5,20.25,1,1,1,1.8,56.3
199,199,2.5,3800031829,5.0,25.0,1,1,1,2.0,66.9
200,200,3.0,3800031829,1.5,2.25,1,1,1,0.5,93.7
